epoch,accuracy,loss,val_accuracy,val_loss
0,0.3036551773548126,2.403783082962036,0.7397931218147278,1.0676438808441162
1,0.8254482746124268,0.6036721467971802,0.9038620591163635,0.32680243253707886
2,0.920862078666687,0.27867522835731506,0.9456551671028137,0.1941419243812561
3,0.9516551494598389,0.16675905883312225,0.960758626461029,0.13458721339702606
4,0.9708965420722961,0.10555311292409897,0.9672414064407349,0.11020489782094955
5,0.9805344939231873,0.07325073331594467,0.9715172648429871,0.1078934594988823
6,0.9847068786621094,0.055623263120651245,0.9775862097740173,0.07880226522684097
7,0.9902586340904236,0.03810923174023628,0.9806896448135376,0.06689849495887756
8,0.9903620481491089,0.03519650921225548,0.9814482927322388,0.06529957801103592
9,0.9923620820045471,0.028102494776248932,0.9830344915390015,0.06093515455722809
10,0.9938620924949646,0.024243205785751343,0.9752413630485535,0.08560765534639359
11,0.9932758808135986,0.024592312052845955,0.9784138202667236,0.07723291218280792
12,0.9944999814033508,0.019924921914935112,0.9859310388565063,0.052452780306339264
13,0.9939482808113098,0.02147635631263256,0.9846206903457642,0.058388516306877136
14,0.9973793029785156,0.01104824896901846,0.9866896271705627,0.04585151746869087
15,0.9949654936790466,0.018665462732315063,0.9819999933242798,0.06547603756189346
16,0.996999979019165,0.011191355995833874,0.9836551547050476,0.06178402900695801
17,0.9940862059593201,0.020600197836756706,0.9863448143005371,0.06184123829007149
18,0.9965172410011292,0.01230834424495697,0.9860689640045166,0.05586671084165573
19,0.9966034293174744,0.01173249538987875,0.9865517020225525,0.05081256479024887
