epoch,accuracy,loss,val_accuracy,val_loss
0,0.37912067770957947,2.1197078227996826,0.7017930746078491,1.199527382850647
1,0.845879316329956,0.5288368463516235,0.9109655022621155,0.30269238352775574
2,0.935086190700531,0.22847598791122437,0.9314482808113098,0.226847842335701
3,0.9638792872428894,0.128271222114563,0.966620683670044,0.14046026766300201
4,0.9804827570915222,0.07432837039232254,0.9698620438575745,0.10574951022863388
5,0.9853448271751404,0.0542813241481781,0.9733793139457703,0.08878518640995026
6,0.9906724095344543,0.03599979728460312,0.982758641242981,0.05835036560893059
7,0.9926207065582275,0.028922662138938904,0.9714483022689819,0.09639134258031845
8,0.992896556854248,0.02716383896768093,0.9850344657897949,0.05503141134977341
9,0.995206892490387,0.019801726564764977,0.9771034717559814,0.08450578898191452
10,0.9931551814079285,0.02388324774801731,0.9757241606712341,0.08712586760520935
11,0.9953448176383972,0.016806859523057938,0.9818620681762695,0.06234735995531082
12,0.9946034550666809,0.019016288220882416,0.9839310050010681,0.059365566819906235
13,0.9961896538734436,0.013776920735836029,0.9837241172790527,0.05978607386350632
