epoch,accuracy,loss,val_accuracy,val_loss
0,0.342517226934433,2.264537811279297,0.710758626461029,1.0868839025497437
1,0.7978103160858154,0.6839110851287842,0.8616551756858826,0.46387815475463867
2,0.8979482650756836,0.34279441833496094,0.9172413945198059,0.27721795439720154
3,0.9340344667434692,0.21321485936641693,0.9378620982170105,0.21129585802555084
4,0.9559310078620911,0.14314274489879608,0.948206901550293,0.19322806596755981
5,0.9675689935684204,0.10215110331773758,0.9504137635231018,0.18562696874141693
6,0.9733103513717651,0.08103065192699432,0.9504827857017517,0.18516524136066437
7,0.9794827699661255,0.06456226110458374,0.9568965435028076,0.19088242948055267
8,0.9817931056022644,0.057236552238464355,0.9553103446960449,0.17728380858898163
9,0.985689640045166,0.04583527147769928,0.9564138054847717,0.16799193620681763
10,0.983948290348053,0.050031017512083054,0.9551034569740295,0.17849647998809814
11,0.9884827733039856,0.0361502543091774,0.9612413644790649,0.1711912453174591
12,0.9889137744903564,0.036448586732149124,0.9649655222892761,0.1515490859746933
13,0.9896896481513977,0.03308819606900215,0.9660000205039978,0.1470649689435959
14,0.9904137849807739,0.030971894040703773,0.9660000205039978,0.14470067620277405
15,0.9909138083457947,0.030083121731877327,0.964206874370575,0.16565720736980438
16,0.9921379089355469,0.02527238056063652,0.9537241458892822,0.20487256348133087
17,0.9918448328971863,0.025788525119423866,0.9658620953559875,0.15105849504470825
18,0.9929827451705933,0.02239910326898098,0.968413770198822,0.13964517414569855
19,0.9933103322982788,0.02197309583425522,0.9642758369445801,0.16153965890407562
20,0.9929482936859131,0.02294047549366951,0.9676551818847656,0.15836098790168762
21,0.9929827451705933,0.02117343433201313,0.9660689830780029,0.164269357919693
22,0.9945172667503357,0.016715506091713905,0.9706206917762756,0.16500461101531982
23,0.994120717048645,0.019614137709140778,0.9709655046463013,0.14194004237651825
