epoch,accuracy,loss,val_accuracy,val_loss
0,0.14851723611354828,2.9791157245635986,0.4477241337299347,1.8937933444976807
1,0.7328276038169861,0.9458684921264648,0.8501379489898682,0.5439177751541138
2,0.8979482650756836,0.35760340094566345,0.906000018119812,0.33438730239868164
3,0.9463275671005249,0.1788710057735443,0.9199310541152954,0.29040440917015076
4,0.966637909412384,0.10607681423425674,0.9346206784248352,0.24492280185222626
5,0.9773103594779968,0.07360316812992096,0.9302068948745728,0.26615211367607117
6,0.9841896295547485,0.0514705628156662,0.9306206703186035,0.3127145767211914
7,0.9858448505401611,0.046461865305900574,0.9360689520835876,0.27551373839378357
8,0.9850172400474548,0.05105794593691826,0.9372413754463196,0.3182488679885864
9,0.9884310364723206,0.03987135738134384,0.9425517320632935,0.2737361490726471
